epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10091.8,0.76524,0.96633,1.24288,0.78352,0.79014,0.85184,0.66384,0.86393,0.692,1.33292,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10408,0.76829,0.96818,1.2433,0.78532,0.79271,0.85224,0.66477,0.86272,0.69073,1.3318,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10723.5,0.76385,0.96085,1.24072,0.78808,0.79139,0.85404,0.66497,0.86134,0.68936,1.32979,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11039.4,0.7624,0.95839,1.23921,0.79173,0.78688,0.85445,0.66639,0.85968,0.68974,1.32766,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11356,0.76046,0.95461,1.2386,0.78786,0.7854,0.85534,0.66754,0.85971,0.68789,1.32738,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11671.8,0.76279,0.95195,1.23871,0.79163,0.78348,0.85592,0.6674,0.86032,0.68629,1.32793,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11988.5,0.76003,0.95114,1.23831,0.79279,0.78298,0.85631,0.66794,0.86037,0.68553,1.32772,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12304.3,0.75817,0.94878,1.23581,0.79229,0.78464,0.85706,0.66838,0.86001,0.68602,1.32736,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12619.8,0.756,0.94178,1.23541,0.78931,0.79113,0.85797,0.6686,0.85967,0.68269,1.32627,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12935.8,0.75418,0.93937,1.23443,0.79917,0.78288,0.85752,0.66851,0.85939,0.6815,1.32615,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13251.7,0.75756,0.93797,1.23515,0.79595,0.78636,0.85781,0.67087,0.85958,0.67823,1.32626,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13566.8,0.75012,0.93089,1.23152,0.79664,0.79032,0.85884,0.67178,0.85778,0.67841,1.32478,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13882.3,0.75064,0.92521,1.2292,0.80234,0.78681,0.85993,0.67183,0.85797,0.67461,1.32466,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14198.4,0.75009,0.92879,1.23154,0.8027,0.78194,0.86066,0.67251,0.8566,0.67647,1.32275,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
