epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,13795.4,0.77832,0.99545,1.25434,0.77499,0.77163,0.84302,0.6546,0.86998,0.71672,1.34877,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,14217.1,0.77835,0.99471,1.2543,0.78098,0.77326,0.84474,0.65606,0.86856,0.71429,1.34757,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14636.9,0.77408,0.99302,1.24899,0.78807,0.77009,0.84563,0.6568,0.86689,0.7107,1.34479,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,15061.9,0.77191,0.98616,1.24906,0.7909,0.77263,0.8458,0.65721,0.8656,0.70832,1.34318,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,15487.2,0.76945,0.98264,1.24747,0.79334,0.7721,0.84659,0.65851,0.86535,0.70679,1.3434,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,15912.9,0.77107,0.97474,1.24622,0.7889,0.77223,0.847,0.65976,0.86323,0.70306,1.34166,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,16337.5,0.77504,0.97791,1.25109,0.7926,0.77152,0.84565,0.6582,0.86201,0.70105,1.34049,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,16763.3,0.76774,0.97439,1.24578,0.79353,0.77447,0.84711,0.65942,0.86143,0.69881,1.33963,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,17187,0.76347,0.96769,1.24299,0.79942,0.77138,0.84925,0.66175,0.86059,0.69734,1.33843,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,17610.8,0.76703,0.96284,1.24496,0.79529,0.7764,0.84946,0.663,0.85982,0.69479,1.33773,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,18034.4,0.76052,0.95979,1.24145,0.79304,0.78042,0.85075,0.66417,0.85937,0.6932,1.33777,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,18459.9,0.76101,0.95919,1.23999,0.79185,0.77966,0.85159,0.66532,0.85854,0.6897,1.33667,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,18884.1,0.76084,0.95461,1.23985,0.78324,0.78658,0.85413,0.66789,0.85794,0.68757,1.33634,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,19307.3,0.75791,0.94353,1.23954,0.78524,0.78834,0.85405,0.66806,0.85733,0.68634,1.33605,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,19731.3,0.76232,0.94741,1.24101,0.78759,0.78993,0.85475,0.66856,0.85766,0.68393,1.33615,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,20154.8,0.75672,0.94274,1.23785,0.78314,0.79683,0.85702,0.66987,0.85626,0.68169,1.33543,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,20577.7,0.75649,0.93337,1.23566,0.79281,0.7882,0.85627,0.6711,0.85533,0.67943,1.33415,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,21002.9,0.75347,0.9344,1.23443,0.79443,0.79411,0.85701,0.67088,0.85442,0.67713,1.33255,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,21426.9,0.75081,0.93266,1.23115,0.79255,0.79742,0.85809,0.67219,0.8534,0.67592,1.33119,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,21851.2,0.74998,0.92767,1.23265,0.79309,0.80026,0.85889,0.67349,0.85223,0.67408,1.32889,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22276.1,0.75009,0.92516,1.23158,0.78986,0.80007,0.86007,0.67316,0.85231,0.67026,1.32785,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,22699.6,0.74928,0.92604,1.2322,0.79652,0.79772,0.86104,0.67405,0.852,0.66691,1.32665,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,23123.3,0.74434,0.92144,1.22887,0.79435,0.80602,0.86177,0.67491,0.85101,0.6647,1.3255,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,23547.2,0.74552,0.9148,1.22849,0.79938,0.80025,0.86268,0.67615,0.85012,0.66243,1.32404,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,23971.9,0.7455,0.91353,1.22969,0.79445,0.80846,0.86371,0.67671,0.84921,0.66064,1.32286,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,24396.6,0.74315,0.90677,1.22644,0.80161,0.80668,0.86346,0.67665,0.84878,0.65791,1.32244,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,24819,0.74083,0.90589,1.22569,0.80387,0.80161,0.86501,0.67862,0.84865,0.65404,1.32222,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,25243.3,0.73851,0.89923,1.22315,0.80605,0.80247,0.86579,0.68023,0.84756,0.6518,1.32132,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,25667,0.73542,0.89783,1.22237,0.8026,0.80209,0.86628,0.68124,0.84579,0.65062,1.31977,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,26092,0.73514,0.89298,1.2219,0.80472,0.8002,0.86801,0.68258,0.84471,0.64857,1.31876,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,26516.8,0.73799,0.89371,1.22214,0.81122,0.79972,0.86978,0.68296,0.84371,0.64493,1.31748,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,26940.4,inf,0.88301,1.22121,0.80581,0.80578,0.87016,0.68376,0.84298,0.64274,1.31671,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,27364.3,0.73312,0.88193,1.21873,0.80814,0.80532,0.87148,0.68456,0.84308,0.63943,1.31631,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27788.1,0.72888,0.87612,1.21806,0.80579,0.81287,0.87252,0.68466,0.8421,0.63717,1.31539,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28212.5,inf,0.87236,1.21575,0.80213,0.81592,0.87294,0.68563,0.84021,0.63534,1.3134,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28638.6,0.73008,0.87186,1.21636,0.80416,0.81825,0.87232,0.68463,0.83984,0.63544,1.31332,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,29061.9,0.72422,0.86469,1.21396,0.80557,0.81436,0.87234,0.68476,0.83865,0.63401,1.31259,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29486.4,0.72572,0.86573,1.21304,0.80912,0.81209,0.87417,0.687,0.83811,0.6314,1.31204,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29910.6,0.72119,0.85914,1.21297,0.80675,0.8141,0.87534,0.68776,0.83633,0.62937,1.31035,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30333.7,0.72025,0.85633,1.21029,0.80371,0.81686,0.87646,0.68893,0.83535,0.62797,1.309,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30757,0.71993,0.85343,1.21052,0.80121,0.81119,0.87572,0.68917,0.83417,0.62827,1.30738,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,31180.9,0.71579,0.84915,1.20671,0.80581,0.81131,0.87605,0.68997,0.8326,0.62794,1.3051,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31605.4,0.7139,0.84419,1.20556,0.80663,0.81233,0.87707,0.69147,0.83169,0.6264,1.30398,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,32029.9,0.71218,0.838,1.20611,0.81108,0.81493,0.87707,0.69252,0.82979,0.62505,1.30187,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32453.3,0.70995,0.83424,1.20243,0.811,0.8147,0.87728,0.69212,0.82976,0.6234,1.30085,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32878.4,0.70569,0.82656,1.19974,0.81403,0.81385,0.87846,0.69346,0.82865,0.62176,1.29945,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33301.7,0.70737,0.82204,1.20232,0.81391,0.81495,0.87874,0.69329,0.82787,0.61965,1.29831,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33728,0.70569,0.81793,1.19979,0.82326,0.80991,0.8807,0.6952,0.82622,0.61883,1.29662,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,34151.1,0.7043,0.81815,1.19857,0.8211,0.81211,0.88122,0.69608,0.82385,0.61795,1.29434,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34574.2,0.70011,0.80987,1.1969,0.82172,0.81192,0.88164,0.69672,0.82277,0.61762,1.29346,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34996.4,0.69747,0.80739,1.19512,0.82306,0.81332,0.88177,0.69676,0.82184,0.61676,1.29269,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35420.9,0.69549,0.80099,1.19351,0.82742,0.80894,0.88109,0.69649,0.82149,0.61652,1.2924,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35843.8,0.6923,0.79654,1.19312,0.82433,0.8077,0.88165,0.69655,0.82105,0.61572,1.2921,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,36267.8,0.69214,0.79102,1.19054,0.82229,0.81572,0.88145,0.6968,0.82006,0.61461,1.29117,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36691.2,0.68613,0.78328,1.18854,0.82381,0.81258,0.88206,0.69822,0.81934,0.61283,1.29046,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
